country,institution,type,contacts,contacts_with_email,sources,name_variants
Micronesia,FSM National Election office,EMB,6,6,db,
Moldova,Central Election Commission of the Republic of Moldova,EMB,4,4,"csv,db",Central Election Commission
Moldova,OSCE,Other,1,1,csv,
Moldova,Permanent Representation of the Republic of Moldova to the Council of Europe,Other,1,1,csv,
Moldova,Ministry of Justice,Other,1,1,csv,
Moldova,Ministry of Foreign Affairs,Other,1,1,csv,
Montenegro,OSCE,Other,2,2,csv,
Montenegro,Central Election Commission,EMB,2,2,"csv,db",
Montenegro,State Election Commission of Montenegro,EMB,1,1,"csv,db",
Montenegro,Center for Democratic Transition,Other,1,1,"csv,db",
Montenegro,Ministry of Justice,Other,1,1,csv,
Montenegro,Supreme Court of Montenegro,Other,1,1,csv,
Montenegro,Monitoring Center,Other,1,1,db,
Montserrat,"Electoral Commission, Montserrat",EMB,2,2,db,Electoral Commission
Montserrat,Montserrat Electoral Commission,EMB,1,1,db,
Morocco,Election Commission,EMB,1,1,db,
Mozambique,The Electoral Commission Forum,Other,1,1,"csv,db",
